,fridge
2013-07-01 00:00:00+01:00,95.25812
2013-07-01 00:00:06+01:00,92.52755
2013-07-01 00:00:12+01:00,95.57355
2013-07-01 00:00:18+01:00,98.62442
2013-07-01 00:00:24+01:00,98.52298
2013-07-01 00:00:30+01:00,98.47696
2013-07-01 00:00:36+01:00,97.890305
2013-07-01 00:00:42+01:00,96.89958
2013-07-01 00:00:48+01:00,98.567474
2013-07-01 00:00:54+01:00,97.94807
2013-07-01 00:01:00+01:00,97.03195
2013-07-01 00:01:06+01:00,96.31011
2013-07-01 00:01:12+01:00,95.686005
2013-07-01 00:01:18+01:00,96.47922
2013-07-01 00:01:24+01:00,96.90015
2013-07-01 00:01:30+01:00,95.412224
2013-07-01 00:01:36+01:00,95.22258
2013-07-01 00:01:42+01:00,95.41315
2013-07-01 00:01:48+01:00,94.58177
2013-07-01 00:01:54+01:00,94.91147
2013-07-01 00:02:00+01:00,95.62523
2013-07-01 00:02:06+01:00,95.22489
2013-07-01 00:02:12+01:00,95.0717
2013-07-01 00:02:18+01:00,95.32702
2013-07-01 00:02:24+01:00,95.05375
2013-07-01 00:02:30+01:00,95.25448
2013-07-01 00:02:36+01:00,94.673325
2013-07-01 00:02:42+01:00,93.11237
2013-07-01 00:02:48+01:00,94.253
2013-07-01 00:02:54+01:00,94.65022
2013-07-01 00:03:00+01:00,94.55469
2013-07-01 00:03:06+01:00,94.00948
2013-07-01 00:03:12+01:00,94.384186
2013-07-01 00:03:18+01:00,94.602745
2013-07-01 00:03:24+01:00,94.1223
2013-07-01 00:03:30+01:00,93.8662
2013-07-01 00:03:36+01:00,94.2216
2013-07-01 00:03:42+01:00,93.803314
2013-07-01 00:03:48+01:00,94.05472
2013-07-01 00:03:54+01:00,94.17615
2013-07-01 00:04:00+01:00,93.98768
2013-07-01 00:04:06+01:00,93.938576
2013-07-01 00:04:12+01:00,93.5773
2013-07-01 00:04:18+01:00,93.75424
2013-07-01 00:04:24+01:00,93.85374
2013-07-01 00:04:30+01:00,93.38418
2013-07-01 00:04:36+01:00,93.98469
2013-07-01 00:04:42+01:00,93.61822
2013-07-01 00:04:48+01:00,94.46721
2013-07-01 00:04:54+01:00,93.75441
2013-07-01 00:05:00+01:00,94.69797
2013-07-01 00:05:06+01:00,94.32503
2013-07-01 00:05:12+01:00,95.302574
2013-07-01 00:05:18+01:00,94.263275
2013-07-01 00:05:24+01:00,94.15431
2013-07-01 00:05:30+01:00,94.493675
2013-07-01 00:05:36+01:00,96.00293
2013-07-01 00:05:42+01:00,94.498314
2013-07-01 00:05:48+01:00,94.69443
2013-07-01 00:05:54+01:00,94.61963
2013-07-01 00:06:00+01:00,94.530556
2013-07-01 00:06:06+01:00,94.69858
2013-07-01 00:06:12+01:00,94.29791
2013-07-01 00:06:18+01:00,95.131325
2013-07-01 00:06:24+01:00,95.62741
2013-07-01 00:06:30+01:00,94.061676
2013-07-01 00:06:36+01:00,94.50461
2013-07-01 00:06:42+01:00,92.76587
2013-07-01 00:06:48+01:00,95.05108
2013-07-01 00:06:54+01:00,93.328995
2013-07-01 00:07:00+01:00,93.028984
2013-07-01 00:07:06+01:00,92.61929
2013-07-01 00:07:12+01:00,94.11566
2013-07-01 00:07:18+01:00,93.669655
2013-07-01 00:07:24+01:00,93.42786
2013-07-01 00:07:30+01:00,92.30864
2013-07-01 00:07:36+01:00,93.77895
2013-07-01 00:07:42+01:00,93.347626
2013-07-01 00:07:48+01:00,94.013794
2013-07-01 00:07:54+01:00,93.563324
2013-07-01 00:08:00+01:00,93.61542
2013-07-01 00:08:06+01:00,92.87375
2013-07-01 00:08:12+01:00,93.14351
2013-07-01 00:08:18+01:00,92.90711
2013-07-01 00:08:24+01:00,92.929474
2013-07-01 00:08:30+01:00,93.604385
2013-07-01 00:08:36+01:00,92.52608
2013-07-01 00:08:42+01:00,92.418625
2013-07-01 00:08:48+01:00,92.89125
2013-07-01 00:08:54+01:00,92.64116
2013-07-01 00:09:00+01:00,92.7899
2013-07-01 00:09:06+01:00,92.73865
2013-07-01 00:09:12+01:00,93.68088
2013-07-01 00:09:18+01:00,93.33663
2013-07-01 00:09:24+01:00,93.54468
2013-07-01 00:09:30+01:00,93.53433
2013-07-01 00:09:36+01:00,93.98874
2013-07-01 00:09:42+01:00,92.2804
2013-07-01 00:09:48+01:00,92.62169
2013-07-01 00:09:54+01:00,91.93386
2013-07-01 00:10:00+01:00,93.16299
2013-07-01 00:10:06+01:00,91.39189
2013-07-01 00:10:12+01:00,90.99344
2013-07-01 00:10:18+01:00,92.14463
2013-07-01 00:10:24+01:00,92.13706
2013-07-01 00:10:30+01:00,90.60962
2013-07-01 00:10:36+01:00,91.85455
2013-07-01 00:10:42+01:00,90.67379
2013-07-01 00:10:48+01:00,89.71736
2013-07-01 00:10:54+01:00,91.11364
2013-07-01 00:11:00+01:00,91.816284
2013-07-01 00:11:06+01:00,91.53073
2013-07-01 00:11:12+01:00,89.77136
2013-07-01 00:11:18+01:00,89.984184
2013-07-01 00:11:24+01:00,90.211586
2013-07-01 00:11:30+01:00,88.62414
2013-07-01 00:11:36+01:00,90.378204
2013-07-01 00:11:42+01:00,88.6947
2013-07-01 00:11:48+01:00,88.6732
2013-07-01 00:11:54+01:00,89.27845
2013-07-01 00:12:00+01:00,89.7757
2013-07-01 00:12:06+01:00,88.408066
2013-07-01 00:12:12+01:00,88.881325
2013-07-01 00:12:18+01:00,88.30763
2013-07-01 00:12:24+01:00,89.19292
2013-07-01 00:12:30+01:00,88.28283
2013-07-01 00:12:36+01:00,88.05016
2013-07-01 00:12:42+01:00,88.10034
2013-07-01 00:12:48+01:00,87.96809
2013-07-01 00:12:54+01:00,86.27269
2013-07-01 00:13:00+01:00,87.65929
2013-07-01 00:13:06+01:00,86.95292
2013-07-01 00:13:12+01:00,87.14679
2013-07-01 00:13:18+01:00,85.65079
2013-07-01 00:13:24+01:00,86.63655
2013-07-01 00:13:30+01:00,87.48658
2013-07-01 00:13:36+01:00,86.341866
2013-07-01 00:13:42+01:00,85.9956
2013-07-01 00:13:48+01:00,85.79602
2013-07-01 00:13:54+01:00,87.00058
2013-07-01 00:14:00+01:00,86.55205
2013-07-01 00:14:06+01:00,84.803764
2013-07-01 00:14:12+01:00,86.12879
2013-07-01 00:14:18+01:00,84.28028
2013-07-01 00:14:24+01:00,83.58258
2013-07-01 00:14:30+01:00,80.906525
2013-07-01 00:14:36+01:00,83.568985
2013-07-01 00:14:42+01:00,78.72757
2013-07-01 00:14:48+01:00,79.63606
2013-07-01 00:14:54+01:00,76.09898
2013-07-01 00:15:00+01:00,71.720085
2013-07-01 00:15:06+01:00,70.64763
2013-07-01 00:15:12+01:00,68.67119
2013-07-01 00:15:18+01:00,58.399525
2013-07-01 00:15:24+01:00,58.15455
2013-07-01 00:15:30+01:00,45.121204
2013-07-01 00:15:36+01:00,19.930275
2013-07-01 00:15:42+01:00,0.0
2013-07-01 00:15:48+01:00,0.0
2013-07-01 00:15:54+01:00,0.0
2013-07-01 00:16:00+01:00,0.0
2013-07-01 00:16:06+01:00,0.12762451
2013-07-01 00:16:12+01:00,1.2474136
2013-07-01 00:16:18+01:00,0.43683624
2013-07-01 00:16:24+01:00,0.0
2013-07-01 00:16:30+01:00,0.0
2013-07-01 00:16:36+01:00,0.0
2013-07-01 00:16:42+01:00,0.0
2013-07-01 00:16:48+01:00,0.0
2013-07-01 00:16:54+01:00,0.0
2013-07-01 00:17:00+01:00,0.05872345
2013-07-01 00:17:06+01:00,0.0
2013-07-01 00:17:12+01:00,0.0
2013-07-01 00:17:18+01:00,0.0
2013-07-01 00:17:24+01:00,0.0
2013-07-01 00:17:30+01:00,0.0
2013-07-01 00:17:36+01:00,0.0
2013-07-01 00:17:42+01:00,0.01335907
2013-07-01 00:17:48+01:00,0.0
2013-07-01 00:17:54+01:00,0.0
2013-07-01 00:18:00+01:00,1.4467201
2013-07-01 00:18:06+01:00,0.3008232
2013-07-01 00:18:12+01:00,0.8141594
2013-07-01 00:18:18+01:00,0.0
2013-07-01 00:18:24+01:00,0.28125763
2013-07-01 00:18:30+01:00,0.0
2013-07-01 00:18:36+01:00,1.0936241
2013-07-01 00:18:42+01:00,0.0
2013-07-01 00:18:48+01:00,0.6764412
2013-07-01 00:18:54+01:00,0.2553215
2013-07-01 00:19:00+01:00,0.9765129
2013-07-01 00:19:06+01:00,0.27903366
2013-07-01 00:19:12+01:00,0.5803528
2013-07-01 00:19:18+01:00,0.0
2013-07-01 00:19:24+01:00,0.71974945
2013-07-01 00:19:30+01:00,0.0
2013-07-01 00:19:36+01:00,0.2585106
2013-07-01 00:19:42+01:00,0.19963455
2013-07-01 00:19:48+01:00,0.5204315
2013-07-01 00:19:54+01:00,0.0
2013-07-01 00:20:00+01:00,0.63492966
2013-07-01 00:20:06+01:00,0.3020401
2013-07-01 00:20:12+01:00,0.4862404
2013-07-01 00:20:18+01:00,0.089603424
2013-07-01 00:20:24+01:00,0.77308273
2013-07-01 00:20:30+01:00,0.21707916
2013-07-01 00:20:36+01:00,0.81188583
2013-07-01 00:20:42+01:00,0.22775269
2013-07-01 00:20:48+01:00,0.7033539
2013-07-01 00:20:54+01:00,0.37054062
2013-07-01 00:21:00+01:00,1.1720695
2013-07-01 00:21:06+01:00,0.5846329
2013-07-01 00:21:12+01:00,0.8818817
2013-07-01 00:21:18+01:00,0.82141876
2013-07-01 00:21:24+01:00,1.053009
2013-07-01 00:21:30+01:00,0.33781433
2013-07-01 00:21:36+01:00,1.0863304
2013-07-01 00:21:42+01:00,0.42225647
2013-07-01 00:21:48+01:00,1.2010994
2013-07-01 00:21:54+01:00,0.596653
2013-07-01 00:22:00+01:00,1.0926476
2013-07-01 00:22:06+01:00,0.6602936
2013-07-01 00:22:12+01:00,0.7463608
2013-07-01 00:22:18+01:00,0.5978584
2013-07-01 00:22:24+01:00,0.9343834
2013-07-01 00:22:30+01:00,0.70598984
2013-07-01 00:22:36+01:00,0.68629456
2013-07-01 00:22:42+01:00,0.62309647
2013-07-01 00:22:48+01:00,0.8805046
2013-07-01 00:22:54+01:00,0.37776184
2013-07-01 00:23:00+01:00,1.2415695
2013-07-01 00:23:06+01:00,0.30120468
2013-07-01 00:23:12+01:00,0.7396164
2013-07-01 00:23:18+01:00,0.30863953
2013-07-01 00:23:24+01:00,0.5863571
2013-07-01 00:23:30+01:00,0.37788773
2013-07-01 00:23:36+01:00,0.9540901
2013-07-01 00:23:42+01:00,0.75857544
2013-07-01 00:23:48+01:00,0.89564896
2013-07-01 00:23:54+01:00,0.43692017
2013-07-01 00:24:00+01:00,0.73142624
2013-07-01 00:24:06+01:00,0.8303871
2013-07-01 00:24:12+01:00,0.6847496
2013-07-01 00:24:18+01:00,0.52581406
2013-07-01 00:24:24+01:00,0.7338333
2013-07-01 00:24:30+01:00,0.41898346
2013-07-01 00:24:36+01:00,0.81765366
2013-07-01 00:24:42+01:00,0.4386711
2013-07-01 00:24:48+01:00,0.79857635
2013-07-01 00:24:54+01:00,0.58330154
2013-07-01 00:25:00+01:00,0.67419434
2013-07-01 00:25:06+01:00,0.28787613
2013-07-01 00:25:12+01:00,0.69565964
2013-07-01 00:25:18+01:00,0.54576874
2013-07-01 00:25:24+01:00,0.7326088
2013-07-01 00:25:30+01:00,0.65905
2013-07-01 00:25:36+01:00,0.84998703
2013-07-01 00:25:42+01:00,0.32206726
2013-07-01 00:25:48+01:00,0.8030472
2013-07-01 00:25:54+01:00,0.6810341
2013-07-01 00:26:00+01:00,0.8310356
2013-07-01 00:26:06+01:00,0.43780518
2013-07-01 00:26:12+01:00,0.84023285
2013-07-01 00:26:18+01:00,0.43231964
2013-07-01 00:26:24+01:00,1.0770874
2013-07-01 00:26:30+01:00,0.5762329
2013-07-01 00:26:36+01:00,0.9999237
2013-07-01 00:26:42+01:00,0.75992966
2013-07-01 00:26:48+01:00,1.2664604
2013-07-01 00:26:54+01:00,0.9403763
2013-07-01 00:27:00+01:00,1.2583237
2013-07-01 00:27:06+01:00,0.7045288
2013-07-01 00:27:12+01:00,2.11483
